time,NINO1+2_sst,NINO3_sst,NINO3.4_sst,NINO4_sst,EPAC_mslp,INDO_mslp
1994-07-01,21.245832,25.13893,27.2262,29.264914,101202.8,101014.1
1994-08-01,19.947826,24.768976,27.268417,29.322807,101288.36,101087.266
1994-09-01,20.141405,24.798023,26.969654,29.047499,101270.38,101136.945
1994-10-01,21.692041,25.514977,27.322636,29.198135,101246.69,101107.51
1994-11-01,22.35157,25.886208,27.694939,29.264336,101224.53,101008.23
1994-12-01,23.544939,26.017519,27.775576,29.16917,101102.22,101059.08
1995-01-01,25.05872,26.106846,27.267668,28.770872,101109.8,101051.09
1995-02-01,26.134731,26.703053,27.322723,28.807909,101111.87,101045.01
1995-03-01,26.134424,26.892302,27.47686,28.80076,101049.54,100996.61
1995-04-01,24.408775,26.939905,27.849018,28.86331,100983.44,100948.17
1995-05-01,23.170263,26.288305,27.609407,29.038782,101163.38,100960.91
1995-06-01,22.352108,25.949371,27.28568,28.883677,101206.68,100952.01
1995-07-01,21.35062,25.41407,27.016184,28.687944,101222.14,100936.266
1995-08-01,20.18278,24.30604,26.24039,28.441574,101286.516,100975.164
1995-09-01,20.324156,24.029795,26.024261,28.30691,101370.305,101054.234
1995-10-01,20.168922,24.066229,25.730463,28.05224,101273.305,100932.555
1995-11-01,21.602427,24.065535,25.724796,27.980286,101274.25,100936.664
1995-12-01,21.971714,24.20711,25.644552,27.912975,101316.52,101022.555
1996-01-01,23.781214,24.90259,25.660097,27.68914,101182.836,100920.234
1996-02-01,25.52179,25.666006,25.879454,27.384619,101070.61,100915.055
1996-03-01,26.029928,26.616043,26.50954,27.538235,101079.66,100922.87
1996-04-01,23.80254,26.562538,27.277653,27.949022,101089.44,100911.91
1996-05-01,23.113386,26.297447,27.335585,28.393364,101244.07,101009.78
1996-06-01,21.788275,25.781122,27.186611,28.442043,101265.58,100964.13
1996-07-01,20.476452,25.1296,26.88609,28.357195,101304.35,100952.14
1996-08-01,19.75496,24.571112,26.528862,28.413458,101335.836,101010.08
1996-09-01,19.568678,24.351591,26.343454,28.324972,101226.086,100898.34
1996-10-01,20.267479,24.284134,26.125082,28.288868,101245.305,100957.09
1996-11-01,20.402527,24.457607,26.315056,28.188906,101179.82,100897.2
1996-12-01,21.674686,24.076475,25.96027,28.268959,101117.26,100906.375
1997-01-01,23.550283,24.597633,25.868616,28.094263,101280.6,101036.95
1997-02-01,25.579021,25.600985,26.289196,28.185026,101024.42,100909.305
1997-03-01,26.794662,26.689173,26.824167,28.329836,101090.21,101115.96
1997-04-01,26.489769,27.212763,27.66186,28.999872,101113.05,101083.1
1997-05-01,26.43531,27.63509,28.271193,29.227737,101014.484,101011.14
1997-06-01,25.98244,27.84269,28.531984,29.062515,101061.56,101093.86
1997-07-01,25.457825,27.646189,28.583727,29.204124,101032.914,101064.445
1997-08-01,24.626566,27.522554,28.592203,29.043049,101112.125,101173.77
1997-09-01,24.281914,27.508621,28.604675,29.259304,101113.74,101225.555
1997-10-01,24.525015,27.7782,28.736568,28.975723,101105.95,101221.71
1997-11-01,25.46083,28.255972,28.949905,29.28645,101088.43,101148.19
1997-12-01,26.646646,28.338398,28.75804,28.880617,100946.125,101086.31
1998-01-01,27.424482,28.431126,28.602076,28.67743,100903.44,101133.39
1998-02-01,28.037466,28.564203,28.462894,28.627266,101012.2,101232.64
1998-03-01,28.553299,28.813826,28.399649,28.497179,100970.4,101136.32
1998-04-01,28.101263,28.762245,28.282131,28.375511,101039.25,101068.71
1998-05-01,27.491447,28.22581,28.304876,28.548183,101095.305,100965.125
1998-06-01,25.065418,26.204948,26.81191,28.321516,101171.93,100985.41
1998-07-01,23.412506,25.332443,25.980082,27.96451,101246.35,100978.2
1998-08-01,21.917513,24.605978,25.53137,27.731625,101273.12,101021.49
1998-09-01,21.09382,24.207092,25.60223,27.8531,101286.48,101007.57
1998-10-01,21.730467,24.013855,25.293945,27.154491,101258.83,100965.79
1998-11-01,21.477863,24.338055,25.365942,27.142231,101210.7,100899.09
1998-12-01,23.068996,23.955479,24.768738,26.885675,101228.71,100917.086
1999-01-01,23.747883,24.385485,24.85046,26.439411,101160.86,100793.44
1999-02-01,25.611664,25.568865,25.533667,26.512152,101155.36,100987.13
1999-03-01,26.52136,26.775621,26.256937,26.803415,100994.984,100747.19
1999-04-01,23.951687,26.69415,26.750137,27.14437,101112.16,100873.305
1999-05-01,23.617104,26.51292,26.901304,27.758444,101184.625,100946.51
1999-06-01,22.222044,25.773851,26.563543,27.934,101235.14,100993.42
1999-07-01,21.008816,24.918344,26.210968,27.664581,101283.164,100954.086
1999-08-01,20.08183,24.136803,25.589989,27.713823,101332.055,101055.375
1999-09-01,19.750254,23.764988,25.66431,27.7187,101326.31,101001.88
1999-10-01,20.248974,23.621632,25.497395,27.783394,101345.055,100941.3
1999-11-01,20.68542,23.49501,25.084648,27.476404,101303.88,100896.39
1999-12-01,22.197338,23.541803,24.895617,27.150333,101271.21,100861.77
2000-01-01,23.867535,23.879969,24.68918,26.952827,101195.08,100881.65
2000-02-01,25.629154,25.317726,25.11273,26.603832,101234.81,100869.52
2000-03-01,25.72268,26.52802,26.030016,26.633945,101050.35,100876.92
2000-04-01,25.78426,27.383295,26.865723,27.221634,101061.32,100860.68
2000-05-01,23.827188,26.602835,26.861824,27.611126,101100.016,100915.484
2000-06-01,22.602757,25.842365,26.966627,28.285194,101174.86,100932.875
2000-07-01,20.795784,24.994226,26.517008,28.19676,101181.09,100910.56
2000-08-01,19.92076,24.554348,26.351845,28.122334,101204.21,100961.42
2000-09-01,20.075697,24.444242,26.17556,28.323301,101278.46,100990.18
2000-10-01,20.436134,24.420729,25.985918,27.964378,101206.03,100892.41
2000-11-01,20.663788,24.177286,25.831192,27.925684,101166.96,100800.75
2000-12-01,22.416838,24.438604,25.497932,27.205616,101146.52,100827.47
2001-01-01,24.07804,25.16674,25.715738,27.226664,101186.68,100854.875
2001-02-01,25.57502,26.121685,26.09734,27.021885,100934.82,100799.664
2001-03-01,26.830692,27.242504,26.79964,27.433403,101049.18,100915.945
2001-04-01,26.091722,27.321318,27.196875,27.866121,100974.51,100904.34
2001-05-01,24.078184,26.930689,27.3777,28.357634,101079.77,100943.96
2001-06-01,22.399656,26.360132,27.515863,28.568333,101103.945,100915.516
2001-07-01,21.307163,25.412676,27.153969,28.943527,101220.46,100952.695
2001-08-01,20.369072,24.758244,26.754025,28.755047,101229.81,100978.14
2001-09-01,19.91078,24.380287,26.505165,29.064558,101285.59,100987.35
2001-10-01,19.909056,24.524029,26.444715,28.847773,101238.73,100953.766
2001-11-01,20.926914,24.25415,26.267399,28.768324,101237.0,100915.9
2001-12-01,22.248209,24.596224,26.041515,28.338194,101090.07,101033.41
2002-01-01,23.922411,24.938408,26.312809,28.604189,101146.25,100977.47
2002-02-01,26.02405,25.995184,26.725523,28.411541,101090.83,101085.31
2002-03-01,27.259466,27.214191,27.126617,28.26211,100982.54,100955.6
2002-04-01,26.299671,27.409607,27.810688,28.870752,100991.125,100892.86
2002-05-01,25.208405,27.332895,28.055035,29.298086,101011.766,100946.96
2002-06-01,23.151136,27.101717,28.300322,29.350288,101094.19,100961.65
2002-07-01,21.844757,26.093416,27.853888,29.256298,101209.41,101049.46
2002-08-01,20.794662,25.45721,27.539438,29.250183,101144.25,101045.38
2002-09-01,20.981169,25.617352,27.58399,29.251982,101227.13,101120.484
2002-10-01,21.812885,25.698542,27.767712,29.271875,101115.54,101002.17
2002-11-01,22.9505,26.2606,28.019457,29.52754,101098.945,100954.23
2002-12-01,23.851435,26.376406,27.917383,29.296831,101098.03,101021.69
2003-01-01,24.514969,26.281633,27.398106,28.863787,101063.9,101063.04
2003-02-01,26.059805,26.725855,27.33159,28.715359,100957.73,100978.92
2003-03-01,26.600777,27.268044,27.695711,28.82491,101000.77,101013.04
2003-04-01,24.707098,27.165142,27.622831,28.638842,101047.88,100940.08
2003-05-01,22.700844,26.199505,27.217096,28.563488,101084.64,100920.54
2003-06-01,22.16373,25.95097,27.311655,28.85003,101194.9,100986.84
2003-07-01,21.377012,25.774603,27.29063,28.922329,101201.164,101019.64
2003-08-01,21.126545,25.279804,26.867714,28.813723,101251.266,101017.68
2003-09-01,20.434029,25.024899,26.898735,28.799105,101268.54,101054.13
2003-10-01,21.330458,25.428202,27.133411,29.109467,101233.625,101006.484
2003-11-01,22.246058,25.44483,26.970577,29.06664,101172.016,100942.23
2003-12-01,23.372923,25.897694,26.925737,28.725502,101116.7,100960.56
2004-01-01,24.759333,26.090693,26.707964,28.52175,101129.51,100995.08
2004-02-01,26.137707,26.591461,26.837322,28.341085,101100.38,100983.95
2004-03-01,25.577187,27.07887,26.98745,28.263988,100926.93,100931.1
2004-04-01,25.466808,27.357965,27.722687,28.560528,101069.34,100957.07
2004-05-01,23.442432,26.688015,27.918394,28.94839,101117.4,100926.48
2004-06-01,22.154081,26.329248,27.657038,28.910666,101149.445,101059.234
2004-07-01,21.08042,25.825304,27.737988,29.13873,101214.46,101004.26
